Taluka,City_Village,Area_Type,Land_Type,Buyer_Gender,Area_sqft,Rate_per_sqft,Land_Cost,Stamp_Duty_Percent,Stamp_Duty_Amount,Registration_Percent,Registration_Amount,Total_Price,Flood_Risk,Crime_Level,Market_Access,School_Access,Hospital_Access,Growth_Rate,Distance_to_City_Center,Distance_to_Highway
Karveer,Tarabai Park,Urban,Commercial,Male,1000,8700,8700000,6,522000,1,30000,9252000,Medium,Low,10,9,10,0.13,1.5,10.0
Ajra,Ningudage,Rural,Agricultural,Male,2500,200,500000,3,15000,1,5000,520000,High,Low,4,4,4,0.03,36.0,10.0
Ajra,Dewarde,Rural,Residential,Female,2500,690,1725000,2,34500,1,17250,1776750,Medium,Low,4,4,4,0.04,35.0,10.0
Karveer,Shiye,Semi-Urban,Agricultural,Male,1700,1060,1802000,4,72080,1,18020,1892100,Low,Low,8,7,7,0.09,5.0,3.0
Shirol,Shirol,Semi-Urban,Residential,Female,2000,2190,4380000,3,131400,1,30000,4541400,High,Medium,7,7,8,0.06,40.0,4.0
Hatkanangale,Vathar,Semi-Urban,Industrial,Female,3000,1740,5220000,3,156600,1,30000,5406600,Low,Low,5,5,5,0.06,19.0,17.0
Gaganbawada,Salwan,Rural,Agricultural,Female,5000,200,1000000,2,20000,1,10000,1030000,High,Low,4,4,3,0.03,42.0,12.0
Karveer,Shiye,Semi-Urban,Residential,Female,1900,2460,4674000,3,140220,1,30000,4844220,Low,Low,8,7,7,0.09,5.0,3.0
Kagal,Kagal,Semi-Urban,Residential,Male,3000,2880,8640000,4,345600,1,30000,9015600,Low,Low,8,8,7,0.01,22.0,5.0
Chandgad,Shinoli,Rural,Commercial,Male,6000,980,5880000,3,176400,1,30000,6086400,Medium,Low,5,5,4,0.04,33.0,9.0
Shahuwadi,Amba,Rural,Residential,Male,2700,440,1188000,3,35640,1,11880,1235520,High,Low,4,4,3,0.03,35.0,9.0
Karveer,Gandhinagar,Urban,Commercial,Female,2300,3100,7130000,5,356500,1,30000,7516500,Low,Low,8,8,8,0.08,3.0,6.0
Radhanagari,Tarale,Rural,Agricultural,Male,1500,360,540000,3,16200,1,5400,561600,Medium,Low,5,5,4,0.04,33.0,10.0
Ajra,Dewarde,Rural,Agricultural,Female,8000,330,2640000,2,52800,1,26400,2719200,Medium,Low,4,4,4,0.04,35.0,10.0
Gaganbawada,Gaganbawada,Rural,Residential,Male,5000,950,4750000,3,142500,1,30000,4922500,High,Low,5,5,4,0.04,36.0,10.0
Karveer,Shiroli,Semi-Urban,Residential,Female,6000,2960,17760000,3,532800,1,30000,18322800,High,Medium,8,6,6,0.09,10.0,2.0
Karveer,Shiroli,Semi-Urban,Residential,Female,5000,3260,16300000,3,489000,1,30000,16819000,High,Medium,8,6,6,0.09,10.0,2.0
Hatkanangale,Kabnur,Semi-Urban,Residential,Female,3000,1820,5460000,3,163800,1,30000,5653800,Low,Medium,6,6,6,0.05,17.0,15.0
Shirol,Herwad,Rural,Agricultural,Male,3000,640,1920000,3,57600,1,19200,1996800,Medium,Low,5,5,5,0.04,22.0,6.0
Ajra,Zulapewadi,Rural,Residential,Male,2300,370,851000,3,25530,1,8510,885040,High,Low,4,4,3,0.03,37.0,11.0
Karveer,Nagala Park,Urban,Commercial,Female,1200,7590,9108000,5,455400,1,30000,9593400,Medium,Low,9,9,9,0.12,2.2,8.0
Radhanagari,Rajapur,Rural,Commercial,Female,4000,1000,4000000,2,80000,1,30000,4110000,Medium,Low,4,4,4,0.04,37.0,11.0
Kagal,Sangaon,Rural,Residential,Male,4000,1280,5120000,3,153600,1,30000,5303600,Medium,Low,5,5,5,0.04,25.0,14.0
Hatkanangale,Hupari,Semi-Urban,Commercial,Male,1600,3180,5088000,4,203520,1,30000,5321520,Medium,Low,6,6,6,0.08,20.0,25.0
Hatkanangale,Ichalkaranji,Urban,Commercial,Female,4800,3930,18864000,5,943200,1,30000,19837200,Medium,Medium,8,8,7,0.1,25.0,22.0
Bhudargad,Pimpalgoan,Rural,Residential,Male,8000,400,3200000,3,96000,1,30000,3326000,Medium,Low,4,4,4,0.03,30.0,8.0
Gadhinglaj,Mahagoan,Rural,Commercial,Male,10000,930,9300000,3,279000,1,30000,9609000,Medium,Low,5,5,4,0.04,35.0,10.0
Shirol,Herwad,Rural,Agricultural,Female,4500,670,3015000,2,60300,1,30000,3105300,Medium,Low,5,5,5,0.04,22.0,6.0
Karveer,Gandhinagar,Urban,Residential,Female,2500,2700,6750000,5,337500,1,30000,7117500,Low,Low,8,8,8,0.08,3.0,6.0
Kagal,Siddhanerli,Rural,Residential,Female,3500,1210,4235000,2,84700,1,30000,4349700,Low,Low,5,5,5,0.06,26.0,13.0
Gadhinglaj,Basarge,Rural,Agricultural,Male,2700,360,972000,3,29160,1,9720,1010880,Medium,Low,5,5,5,0.04,30.0,7.0
Karveer,Gokul Shirgaon,Semi-Urban,Residential,Male,1200,1630,1956000,4,78240,1,19560,2053800,Low,Low,7,7,6,0.07,8.0,4.0
Karveer,Nagala Park,Urban,Commercial,Male,2700,7580,20466000,6,1227960,1,30000,21723960,Medium,Low,9,9,9,0.12,2.2,8.0
Panhala,Warnanagar,Semi-Urban,Industrial,Male,6000,2570,15420000,4,616800,1,30000,16066800,Low,Medium,8,7,7,0.06,15.0,2.0
